Second,CH1,CH2,CH3,
0.0079,4.6,8.8,-14.2, 
0.008,4.4,9,-13.8, 
0.0081,3.6,8.8,-12.8, 
0.0082,3.4,9.2,-12.8, 
0.0083,2.2,9,-12, 
0.0084,2.2,9.2,-11.6, 
0.0085,0.8,8.8,-10.6, 
0.0086,0.6,9.2,-10, 
0.0087,-0.4,9,-9.6, 
0.0088,-0.8,9,-9.2, 
0.0089,-1.6,9.2,-8.2, 
0.009,-1.8,9.2,-8, 
0.0091,-2.8,9.2,-7.4, 
0.0092,-3.4,9.2,-7.6, 
0.0093,-4,9.2,-6.6, 
0.0094,-4.2,9,-6.2, 
0.0095,-5,9.2,-5.6, 
0.0096,-5,9.4,-5.8, 
0.0097,-5.6,9.2,-5.4, 
0.0098,-5.8,9.4,-5.4, 
0.0099,-6,9.8,-5.2, 
0.01,-5.8,9.6,-5.2, 
0.0101,-6.4,9.6,-4.4, 
0.0102,-6.6,9.6,-4.6, 
0.0103,-7,9.8,-4.4, 
0.0104,-6.6,9.6,-3.8, 
0.0105,-7.2,9.8,-4.2, 
0.0106,-7,9.4,-3.6, 
0.0107,-7.4,9.2,-3.2, 
0.0108,-7.2,9.2,-3.2, 
0.0109,-8,9,-2.4, 
0.011,-8,9,-1.8, 
0.0111,-8.4,8.6,-1, 
0.0112,-8.6,8.8,-1, 
0.0113,-9.2,8.4,0.2, 
0.0114,-9.6,8.4,0.2, 
0.0115,-10,8.2,1.2, 
0.0116,-10.4,8.2,1.6, 
0.0117,-10.8,7.8,2.6, 
0.0118,-10.8,7.8,2.6, 
0.0119,-11.4,7.4,3.4, 
0.012,-11.4,7.4,3.8, 
0.0121,-12,7,4.8, 
0.0122,-12.4,7,5, 
0.0123,-12.8,6.6,6, 
0.0124,-13,6.8,6.2, 
0.0125,-13.4,6.4,7, 
0.0126,-13.4,6.4,7.4, 
0.0127,-14,6.4,8.2, 
0.0128,-14.2,6.4,8, 
0.0129,-14.6,6.4,9, 
0.013,-14.8,6,8.8, 
0.0131,-15.2,6.4,9.4, 
0.0132,-15,6.4,9.6, 
0.0133,-15.6,6.4,9.8, 
0.0134,-15.4,6,10, 
0.0135,-15.6,6.4,10.2, 
0.0136,-15.6,6.4,10.4, 
0.0137,-15.6,5.8,10, 
0.0138,-15.6,5.6,10.4, 
0.0139,-15.2,5.2,10, 
0.014,-15,5.2,10.6, 
0.0141,-14.4,4.4,10.4, 
0.0142,-14.4,4,10.4, 
0.0143,-14,3.2,10.8, 
0.0144,-13.6,2.8,10.8, 
0.0145,-13.2,2,11.2, 
0.0146,-12.8,1.4,11.4, 
0.0147,-12.2,0.6,11.8, 
0.0148,-12.4,-0.2,12, 
0.0149,-11.4,-1.4,12.4, 
0.015,-11.4,-1.6,12.6, 
0.0151,-10.8,-3,13.2, 
