Second,CH1,CH2,CH3,
0.22,-16,16,0, 
0.2204,-24,16,8, 
0.2208,-24,16,8, 
0.2212,-16,8,8, 
0.2216,-24,16,8, 
0.222,-24,8,16, 
0.2224,-16,8,16, 
0.2228,-24,0,16, 
0.2232,-24,0,16, 
0.2236,-24,-8,24, 
0.224,-24,0,16, 
0.2244,-16,-8,16, 
0.2248,-16,-8,24, 
0.2252,-8,-8,16, 
0.2256,0,-8,16, 
0.226,0,-24,24, 
0.2264,0,-24,24, 
0.2268,8,-24,16, 
0.2272,8,-32,16, 
0.2276,16,-24,16, 
0.228,16,-24,16, 
0.2284,24,-24,0, 
0.2288,24,-24,-8, 
0.2292,32,-16,-16, 
0.2296,32,-16,-16, 
0.23,32,-16,-32, 
0.2304,32,-16,-32, 
0.2308,32,-8,-32, 
0.2312,32,-8,-32, 
0.2316,16,0,-24, 
0.232,16,8,-16, 
0.2324,0,16,-16, 
0.2328,0,16,-16, 
0.2332,0,24,-16, 
0.2336,0,24,-16, 
0.234,-8,24,-16, 
0.2344,-8,24,-16, 
0.2348,-8,24,-8, 
0.2352,-8,24,-16, 
0.2356,-16,16,-8, 
0.236,-16,16,-8, 
0.2364,-16,24,0, 
0.2368,-16,16,0, 
0.2372,-16,16,0, 
0.2376,-16,16,-8, 
0.238,-16,16,0, 
0.2384,-16,16,8, 
0.2388,-16,16,0, 
0.2392,-16,16,0, 
0.2396,-16,16,8, 
0.24,-24,16,0, 
0.2404,-16,16,8, 
0.2408,-16,16,8, 
0.2412,-24,16,8, 
0.2416,-16,8,8, 
0.242,-24,8,16, 
0.2424,-24,8,16, 
0.2428,-16,0,16, 
0.2432,-24,0,16, 
0.2436,-24,-8,16, 
0.244,-24,-8,16, 
0.2444,-16,-8,24, 
0.2448,-16,-8,24, 
0.2452,0,-8,16, 
0.2456,0,-8,16, 
0.246,0,-16,24, 
0.2464,0,-16,16, 
0.2468,8,-24,16, 
0.2472,16,-24,16, 
0.2476,8,-24,8, 
0.248,16,-24,8, 
0.2484,16,-16,0, 
0.2488,24,-16,-8, 
0.2492,32,-16,-16, 
0.2496,32,-16,-16, 
0.25,32,-16,-24, 
0.2504,32,-16,-24, 
0.2508,32,-8,-32, 
0.2512,32,-8,-24, 
0.2516,16,0,-16, 
0.252,16,0,-16, 
0.2524,8,16,-16, 
0.2528,0,16,-16, 
0.2532,0,24,-16, 
0.2536,0,24,-16, 
0.254,0,24,-16, 
0.2544,0,24,-16, 
0.2548,-8,24,-16, 
