Second,CH1,CH2,CH3,
0.15,8,-16,16, 
0.1504,8,-8,16, 
0.1508,16,-16,16, 
0.1512,16,-16,16, 
0.1516,16,-8,8, 
0.152,16,-8,8, 
0.1524,16,-8,0, 
0.1528,24,-8,0, 
0.1532,24,-8,-8, 
0.1536,24,-8,0, 
0.154,24,-8,0, 
0.1544,24,-8,-8, 
0.1548,16,-8,0, 
0.1552,24,-8,-8, 
0.1556,24,-8,0, 
0.156,24,-8,-8, 
0.1564,24,-8,-8, 
0.1568,24,-8,-8, 
0.1572,24,-8,-8, 
0.1576,24,-8,-8, 
0.158,24,-8,-16, 
0.1584,32,-8,-16, 
0.1588,24,0,-16, 
0.1592,32,0,-16, 
0.1596,32,8,-24, 
0.16,32,8,-24, 
0.1604,32,16,-32, 
0.1608,24,16,-24, 
0.1612,16,16,-32, 
0.1616,16,16,-24, 
0.162,8,24,-24, 
0.1624,0,24,-24, 
0.1628,0,32,-24, 
0.1632,-8,32,-24, 
0.1636,-16,40,-16, 
0.164,-8,40,-16, 
0.1644,-16,32,-8, 
0.1648,-16,32,-8, 
0.1652,-24,24,8, 
0.1656,-24,24,16, 
0.166,-32,24,24, 
0.1664,-32,24,24, 
0.1668,-32,24,24, 
0.1672,-32,24,32, 
0.1676,-24,8,24, 
0.168,-24,8,24, 
0.1684,0,-8,16, 
0.1688,0,-8,16, 
0.1692,0,-8,16, 
0.1696,0,-16,16, 
0.17,8,-8,16, 
0.1704,8,-16,16, 
0.1708,8,-16,16, 
0.1712,16,-8,16, 
0.1716,16,-16,8, 
0.172,16,-8,8, 
0.1724,24,-8,0, 
0.1728,16,-8,0, 
0.1732,24,-8,0, 
0.1736,24,-8,0, 
0.174,24,-8,0, 
0.1744,24,-8,0, 
0.1748,24,-8,0, 
0.1752,24,-8,-8, 
0.1756,24,-8,0, 
0.176,24,-8,0, 
0.1764,24,-8,-8, 
0.1768,24,-8,-8, 
0.1772,24,-8,-8, 
0.1776,24,-8,-8, 
0.178,24,-8,-16, 
0.1784,24,-8,-8, 
0.1788,32,0,-16, 
0.1792,24,0,-16, 
0.1796,32,0,-24, 
0.18,32,0,-24, 
0.1804,32,8,-24, 
0.1808,24,16,-24, 
0.1812,24,16,-24, 
0.1816,16,16,-24, 
0.182,8,24,-16, 
0.1824,8,24,-16, 
0.1828,0,24,-24, 
0.1832,0,32,-16, 
0.1836,-8,24,-16, 
0.184,-8,32,-16, 
0.1844,-16,24,-8, 
0.1848,-16,24,0, 
0.1852,-16,24,8, 
0.1856,-24,24,16, 
0.186,-24,24,16, 
0.1864,-24,24,24, 
0.1868,-24,16,24, 
0.1872,-24,16,24, 
0.1876,-24,8,24, 
0.188,-16,8,24, 
0.1884,0,-8,16, 
0.1888,0,-8,16, 
0.1892,0,-8,16, 
0.1896,0,-8,16, 
0.19,8,-16,16, 
0.1904,8,-16,16, 
0.1908,8,-16,16, 
0.1912,16,-16,16, 
0.1916,8,-8,8, 
0.192,16,-8,16, 
0.1924,16,-8,0, 
0.1928,16,-8,0, 
0.1932,24,-8,8, 
0.1936,16,-8,0, 
0.194,24,-8,-8, 
0.1944,16,-8,0, 
0.1948,24,-8,0, 
0.1952,24,-8,-8, 
0.1956,24,-8,0, 
0.196,24,-8,0, 
0.1964,24,-8,-8, 
0.1968,24,-8,-8, 
0.1972,24,-8,-8, 
0.1976,24,-8,-16, 
0.198,24,-8,-16, 
0.1984,24,-8,-16, 
0.1988,24,0,-16, 
0.1992,32,0,-16, 
0.1996,24,0,-24, 
0.2,32,0,-24, 
0.2004,24,8,-24, 
0.2008,24,8,-24, 
0.2012,16,16,-16, 
0.2016,16,8,-24, 
0.202,8,16,-16, 
0.2024,0,16,-16, 
0.2028,0,24,-16, 
0.2032,0,24,-16, 
0.2036,-8,24,-16, 
0.204,-8,24,-16, 
0.2044,-8,24,-8, 
0.2048,-8,24,0, 
0.2052,-16,24,8, 
0.2056,-16,24,16, 
0.206,-24,16,16, 
0.2064,-24,24,16, 
0.2068,-24,16,24, 
0.2072,-24,16,24, 
0.2076,-16,8,24, 
0.208,-16,8,16, 
0.2084,0,-8,16, 
0.2088,0,-8,16, 
0.2092,0,-8,16, 
0.2096,0,-16,16, 
0.21,0,-8,16, 
0.2104,8,-16,16, 
0.2108,8,-16,16, 
0.2112,8,-16,16, 
0.2116,16,-8,8, 
